epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,0.16537065505981446,0.5,0.03868426303234147,0.034632181045707644,30
1,0.3360803604125977,0.7333333333333333,0.08706352037839503,0.06602992858905764,30
2,0.3723617553710939,0.9,0.11571721262643542,0.08672901660281895,30
3,0.5184611320495591,0.8666666666666667,0.14384119576911764,0.10994029321065205,30
4,0.584287452697754,0.8,0.17250679733716986,0.13391598465699506,30
5,0.71867995262146,0.8,0.19384234138032133,0.15015729867011166,30
6,0.6825549125671386,0.8666666666666667,0.21541142574616995,0.16769772248335976,30
7,0.7161481857299805,0.9333333333333333,0.22931210214506026,0.17661873811532577,30
8,0.8534856319427491,0.8666666666666667,0.25423211949348,0.19283698436080332,30
9,0.8975075721740723,0.8333333333333334,0.2687194869547845,0.20593135183565783,30
10,0.9628468513488762,0.8333333333333334,0.2821591528670589,0.2161271070015799,30
11,0.9278261661529542,0.9,0.2922584383355748,0.22451251838113975,30
12,0.9990201473236084,0.9,0.30655559342467825,0.2313895348109146,30
13,0.9595402240753175,0.9,0.3128372458285306,0.2386666366696053,30
14,0.996940612792968,0.9,0.3228498084227051,0.2439517176241176,30
15,1.0328864574432373,0.9,0.33056697826373976,0.24771722765740983,30
16,1.0495918273925782,0.9,0.3362788901708881,0.25380328435137656,30
17,1.0125503540039062,0.9,0.33744202640155124,0.25411095143829315,30
18,1.0177475452423097,0.9,0.34150858586117033,0.2571694682368667,30
19,1.021388053894043,0.9,0.34209454540409756,0.25754501712642486,30
